robot_0/q_std,robot_1/q_std,mean_final_energy,_runtime,robot_3/loss,robot_0/q_mean,global_step,total_agent_collisions_per_episode,robot_2/q_std,_timestamp,total_charges_per_episode,total_kills_per_episode,survival_rate,robot_2/loss,robot_3/q_std,_step,episode,robot_0/loss,robot_1/loss,episode_length,std_episode_reward,mean_episode_reward,robot_1/q_mean,robot_2/q_mean,robot_3/q_mean
,,36.25,8.936998542,,,147,0.0,,1763369298.961885,0.0,0.0,4.0,,,55,55.0,,,3.0,0.21365860619221497,-0.61,,,
,,24.0,8.9407205,,,151,0.0,,1763369298.9652731,0.0,0.0,4.0,,,56,56.0,,,4.0,0.2137755832643195,-0.6,,,
,,49.0,8.945659417,,,153,0.0,,1763369298.968155,0.0,0.0,4.0,,,57,57.0,,,2.0,0.3500267846894006,-0.4925,,,
,,49.75,8.947553375,,,155,0.0,,1763369298.971831,0.0,0.0,4.0,,,58,58.0,,,2.0,0.7437405461584032,-0.10999999999999999,,,
,,38.0,8.952160292,,,158,0.0,,1763369298.974985,0.0,0.0,4.0,,,59,59.0,,,3.0,0.569446002707895,-0.21749999999999997,,,
,,49.25,8.956652042,,,161,0.0,,1763369298.980639,0.0,0.0,4.0,,,60,60.0,,,3.0,0.8284133931799992,-0.23249999999999998,,,
,,37.0,8.96075375,,,163,0.0,,1763369298.984781,0.0,0.0,4.0,,,61,61.0,,,2.0,0.6123724356957945,-0.48999999999999994,,,
,,49.0,8.964865042,,,165,0.0,,1763369298.987357,0.0,0.0,4.0,,,62,62.0,,,2.0,0.3500267846894006,-0.4925,,,
,,49.5,8.979903042,,,167,0.0,,1763369298.999664,0.0,0.0,4.0,,,63,63.0,,,2.0,0.7541675874764177,-0.2375,,,
,,49.25,8.992255042,,,169,0.0,,1763369299.010805,0.0,0.0,4.0,,,64,64.0,,,2.0,0.5448623679425842,-0.365,,,
,,26.0,8.998243417,,,171,0.0,,1763369299.0204349,0.0,0.0,4.0,,,65,65.0,,,2.0,0.4373785545725808,-0.6,,,
,,50.5,9.000694459,,,174,0.0,,1763369299.0257611,0.0,0.0,4.0,,,66,66.0,,,3.0,0.6127550489388072,0.03250000000000003,,,
,,62.0,9.0066725,,,176,0.0,,1763369299.02926,0.0,0.0,4.0,,,67,67.0,,,2.0,0.7106818908625715,0.012500000000000011,,,
,,37.75,9.014258167,,,179,0.0,,1763369299.036224,0.0,0.0,4.0,,,68,68.0,,,3.0,0.5702850164610676,-0.345,,,
,,73.0,9.017567292,,,182,0.0,,1763369299.041556,0.0,0.0,4.0,,,69,69.0,,,3.0,0.4258153942731521,-0.2425,,,
,,38.0,9.0245095,,,186,0.0,,1763369299.045991,0.0,0.0,4.0,,,70,70.0,,,4.0,0.7368980594356319,-0.08249999999999996,,,
,,49.25,9.038221334,,,188,0.0,,1763369299.058812,0.0,0.0,4.0,,,71,71.0,,,2.0,0.4146383966783588,-0.365,,,
,,61.75,9.043301917,,,190,0.0,,1763369299.06589,0.0,0.0,4.0,,,72,72.0,,,2.0,0.4330704330706496,-0.24,,,
,,36.75,9.048475625,,,194,0.0,,1763369299.0716531,0.0,0.0,4.0,,,73,73.0,,,4.0,0.8246931247439863,-0.3474999999999999,,,
,,49.5,9.055148917,,,196,0.0,,1763369299.077526,0.0,0.0,4.0,,,74,74.0,,,2.0,0.7541675874764177,-0.2375,,,
,,26.75,9.05904775,,,199,0.0,,1763369299.084127,0.0,0.0,4.0,,,75,75.0,,,3.0,0.37205510344571274,-0.45499999999999996,,,
,,24.5,9.06485425,,,201,0.0,,1763369299.086468,0.0,0.0,4.0,,,76,76.0,,,2.0,0.25,-0.74,,,
,,48.75,9.070267625,,,204,0.0,,1763369299.093408,0.0,0.0,4.0,,,77,77.0,,,3.0,0.35003571246374277,-0.485,,,
,,36.25,9.074061625,,,207,0.0,,1763369299.098607,0.0,0.0,4.0,,,78,78.0,,,3.0,0.3465093793824346,-0.4875,,,
,,49.0,9.08127375,,,209,0.0,,1763369299.102027,0.0,0.0,4.0,,,79,79.0,,,2.0,0.35002678468940057,-0.4925,,,
,,49.5,9.087556667,,,211,0.0,,1763369299.109371,0.0,0.0,4.0,,,80,80.0,,,2.0,0.7541675874764177,-0.2375,,,
,,24.25,9.099209125,,,214,0.0,,1763369299.116183,0.0,0.0,4.0,,,81,81.0,,,3.0,0.4070626487409524,-0.61,,,
,,50.5,9.111154167,,,216,0.0,,1763369299.129281,0.0,0.0,4.0,,,82,82.0,,,2.0,0.4266365549270245,-0.3525,,,
,,51.0,9.117362917,,,219,0.0,,1763369299.14031,0.0,0.0,4.0,,,83,83.0,,,3.0,0.6269918261030203,0.03750000000000003,,,
,,16.25,9.132324417,,,222,0.0,,1763369299.1521852,0.0,0.0,4.0,,,84,84.0,,,3.0,0.5859767486854748,-0.31249999999999994,,,
,,49.0,9.138870917,,,226,0.0,,1763369299.160956,0.0,0.0,4.0,,,85,85.0,,,4.0,0.9582275303913992,0.15000000000000002,,,
,,37.0,9.144355834,,,228,0.0,,1763369299.16935,0.0,0.0,4.0,,,86,86.0,,,2.0,0.6123724356957945,-0.48999999999999994,,,
,,49.25,9.147139959,,,230,0.0,,1763369299.171364,0.0,0.0,4.0,,,87,87.0,,,2.0,0.4146383966783588,-0.365,,,
,,49.25,9.151179334,,,232,0.0,,1763369299.1749701,0.0,0.0,4.0,,,88,88.0,,,2.0,0.4146383966783588,-0.365,,,
,,63.5,9.1584605,,,234,0.0,,1763369299.179626,0.0,0.0,4.0,,,89,89.0,,,2.0,0.7110687378868515,0.027500000000000024,,,
,,24.5,9.162600584,,,236,0.0,,1763369299.186518,0.0,0.0,4.0,,,90,90.0,,,2.0,0.25,-0.74,,,
,,63.25,9.169391375,,,239,0.0,,1763369299.191135,0.0,0.0,4.0,,,91,91.0,,,3.0,0.7372584350144799,0.41000000000000003,,,
,,37.5,9.172398334,,,243,0.0,,1763369299.197483,0.0,0.0,4.0,,,92,92.0,,,4.0,0.4246984224128929,-0.33749999999999997,,,
,,61.25,9.174312875,,,245,0.0,,1763369299.1993139,0.0,0.0,4.0,,,93,93.0,,,2.0,0.4100609710762535,-0.37,,,
,,37.0,9.177537792,,,247,0.0,,1763369299.201571,0.0,0.0,4.0,,,94,94.0,,,2.0,0.414578098794425,-0.615,,,
,,63.0,9.181754667,,,249,0.0,,1763369299.20661,0.0,0.0,4.0,,,95,95.0,,,2.0,0.44104279837675614,-0.22749999999999998,,,
,,51.0,9.185430667,,,251,0.0,,1763369299.20958,0.0,0.0,4.0,,,96,96.0,,,2.0,0.5494258366695182,-0.09749999999999998,,,
,,49.0,9.188182834,,,253,0.0,,1763369299.2132192,0.0,0.0,4.0,,,97,97.0,,,2.0,0.495,-0.495,,,
,,50.5,9.191646084,,,255,0.0,,1763369299.2161448,0.0,0.0,4.0,,,98,98.0,,,2.0,0.4266365549270245,-0.3525,,,
,,24.75,9.194971667,,,257,0.0,,1763369299.220064,0.0,0.0,4.0,,,99,99.0,,,2.0,0.4183524232032127,-0.6125,,,
,,37.25,9.273397459,,,261,0.0,,1763369299.298371,0.0,0.0,4.0,,,100,100.0,,,4.0,0.5622054784507173,-0.21499999999999997,,,
,,52.25,9.275235375,,,263,0.0,,1763369299.30049,0.0,0.0,4.0,,,101,101.0,,,2.0,0.45099889135118726,-0.20999999999999996,,,
,,39.25,9.278086125,,,266,0.0,,1763369299.3027,0.0,0.0,4.0,,,102,102.0,,,3.0,0.42355637169094745,-0.07999999999999996,,,
,,74.25,9.280168042,,,268,0.0,,1763369299.305121,0.0,0.0,4.0,,,103,103.0,,,2.0,0.649519052838329,0.135,,,
,,61.5,9.282017375,,,270,0.0,,1763369299.3071811,0.0,0.0,4.0,,,104,104.0,,,2.0,0.4316465568031326,-0.2425,,,
,,25.5,9.284269167,,,273,0.0,,1763369299.3094661,0.0,0.0,4.0,,,105,105.0,,,3.0,0.027726341266023566,-0.46749999999999997,,,
,,36.0,9.287434875,,,276,0.0,,1763369299.312364,0.0,0.0,4.0,,,106,106.0,,,3.0,0.21217622392718746,-0.6125,,,
,,63.5,9.289688,,,278,0.0,,1763369299.3146849,0.0,0.0,4.0,,,107,107.0,,,2.0,0.7403504237859259,0.15250000000000002,,,
,,37.0,9.291553875,,,280,0.0,,1763369299.3168051,0.0,0.0,4.0,,,108,108.0,,,2.0,0.414578098794425,-0.615,,,
,,36.75,9.29356475,,,282,0.0,,1763369299.318571,0.0,0.0,4.0,,,109,109.0,,,2.0,0.41081473926820106,-0.6174999999999999,,,
,,62.75,9.296218709,,,285,0.0,,1763369299.321038,0.0,0.0,4.0,,,110,110.0,,,3.0,0.6231773423352297,0.030000000000000027,,,
,,48.75,9.298389,,,288,0.0,,1763369299.323353,0.0,0.0,4.0,,,111,111.0,,,3.0,0.6524185772952821,-0.10999999999999999,,,
,,61.5,9.300474459,,,290,0.0,,1763369299.325444,0.0,0.0,4.0,,,112,112.0,,,2.0,0.5579146440092785,-0.2425,,,
,,49.5,9.30311975,,,292,0.0,,1763369299.3280482,0.0,0.0,4.0,,,113,113.0,,,2.0,0.5601506493792541,-0.2375,,,
,,62.0,9.306152375,,,294,0.0,,1763369299.3313432,0.0,0.0,4.0,,,114,114.0,,,2.0,0.7433160498738071,-0.11249999999999999,,,
