robot_1/q_std,survival_rate,total_charges_per_episode,robot_0/q_std,mean_final_energy,robot_2/loss,episode_length,_runtime,robot_1/loss,robot_3/q_mean,total_kills_per_episode,total_agent_collisions_per_episode,_step,global_step,std_episode_reward,robot_0/loss,mean_episode_reward,episode,robot_3/loss,robot_3/q_std,_timestamp,robot_2/q_std,robot_0/q_mean,robot_2/q_mean,robot_1/q_mean
,4.0,0.0,,194.0,,500.0,1110.113165083,,,0.0,0.0,162,16866,6.222547709740731,,168.69000000000008,98.0,,,1763371625.082488,,,,
,,,0.616015613079071,,,,1117.470036167,,,,,163,17000,,0.004900779575109482,,,,,1763371632.439208,,8.659699440002441,,
,,,,,,,1117.5123515,,9.042506217956543,,,166,17000,,,,,0.01804884523153305,0.9591655135154724,1763371632.482114,,,,
,4.0,0.0,,197.5,,500.0,1136.771156708,,,0.0,0.0,167,17366,10.881262564610616,,166.725,99.0,,,1763371651.740157,,,,
,,,0.7137306332588196,,,,1173.279171042,,,,,169,18000,,0.010605338960886002,,,,,1763371688.250486,,8.808229446411133,,
0.7873034477233887,,,,,,,1173.291005375,0.006495786365121603,,,,170,18000,,,,,,,1763371688.262351,,,,9.01887321472168
,,,,,,,1173.314834125,,9.530282020568848,,,172,18000,,,,,0.011901968158781528,0.6807295680046082,1763371688.28618,,,,
,4.0,0.0,,194.25,,500.0,1220.865275583,,,0.0,0.0,174,18866,5.822677111947647,,170.56749999999994,102.0,,,1763371735.8378649,,,,
0.8146896362304688,,,,,,,1228.049002875,0.01052742637693882,,,,176,19000,,,,,,,1763371743.0218492,,,,9.313933372497559
,,,,,0.07655476033687592,,1228.060696208,,,,,177,19000,,,,,,,1763371743.033569,1.9946048259735107,,11.211091995239258,
,4.0,0.0,,193.25,,500.0,1266.084899375,,,0.0,0.0,180,19759,2.521174081653225,,168.18250000000006,104.0,,,1763371781.058723,,,,
0.6482135653495789,,,,,,,1279.9165645,0.014683297835290432,,,,182,20000,,,,,,,1763371794.890744,,,,9.756582260131836
,4.0,0.0,,179.5,,500.0,1297.23264375,,,0.0,0.0,185,20259,4.606986542198649,,165.54500000000004,105.0,,,1763371812.207272,,,,
,4.0,0.0,,167.75,,500.0,1329.224331125,,,0.0,0.0,186,20759,4.409990787972231,,163.17749999999998,106.0,,,1763371844.19724,,,,
0.8491383790969849,,,,,,,1344.12321175,0.0062780966982245445,,,,188,21000,,,,,,,1763371859.099406,,,,10.292839050292969
,,,,,,,1344.148444375,,10.853317260742188,,,190,21000,,,,,0.012711659073829651,0.8098010420799255,1763371859.124639,,,,
,,,0.4941791892051697,,,,1394.722729542,,,,,193,22000,,0.014754662290215492,,,,,1763371909.695489,,10.904439926147461,,
1.1716798543930054,,,,,,,1394.732589917,0.9985146522521973,,,,194,22000,,,,,,,1763371909.705363,,,,10.42557430267334
,,,,,0.08611010015010834,,1394.742402583,,,,,195,22000,,,,,,,1763371909.715164,0.7287347316741943,,12.577826499938965,
,4.0,0.0,,197.5,,500.0,1432.160291792,,,0.0,0.0,198,22759,5.937592104548691,,169.6,110.0,,,1763371947.093802,,,,
,,,,,0.020409127697348595,,1443.76951025,,,,,201,23000,,,,,,,1763371958.701091,0.7026064395904541,,13.044017791748047,
,,,,,,,1443.785737375,,11.468360900878906,,,202,23000,,,,,0.0585535392165184,0.660113513469696,1763371958.717281,,,,
,4.0,0.0,,199.25,,500.0,1467.146217083,,,0.0,0.0,203,23259,2.565408105935545,,170.74249999999992,111.0,,,1763371982.076053,,,,
,,,0.8797828555107117,,,,1508.321005542,,,,,205,24000,,1.8334603309631348,,,,,1763372023.251808,,11.385687828063965,,
0.6739269495010376,,,,,,,1508.334609333,0.008938678540289402,,,,206,24000,,,,,,,1763372023.265434,,,,11.417766571044922
