survival_rate,total_kills_per_episode,robot_1/loss,robot_2/q_std,episode,epsilon,global_step,robot_0/q_mean,_step,robot_0/q_std,robot_2/loss,robot_1/q_mean,robot_3/q_std,total_agent_collisions_per_episode,total_charges_per_episode,_runtime,robot_0/loss,mean_final_energy,episode_length,_timestamp,robot_3/q_mean,std_episode_reward,robot_3/loss,robot_2/q_mean,mean_episode_reward,robot_1/q_std
3.0,0.0,,,555.0,0.0,3867,,567,,,,,0.0,300.0,76.286954352,,75.0,100.0,1763416018.274009,,22.087977923522093,,,38.24749999999998,
3.0,0.0,,,556.0,0.0,3967,,568,,,,,0.0,300.0,78.565881441,,75.0,100.0,1763416020.552921,,22.087977923522093,,,38.24749999999998,
,,0.0011086291633546352,,,,4000,,570,,,0.8066712021827698,,,,79.306305389,,,,1763416021.2937887,,,,,,0.3476096987724304
3.0,0.0,,,557.0,0.0,4067,,573,,,,,0.0,300.0,80.742437172,,75.0,100.0,1763416022.7294629,,22.087977923522093,,,38.24749999999998,
,,,,,,6000,1.9484882354736328,589,0.9958269596099854,,,,,,126.603909625,0.0011096532689407468,,,1763416068.591133,,,,,,
4.0,0.0,,,569.0,0.0,6375,,593,,,,,0.0,2000.0,135.079706862,,100.0,500.0,1763416077.0669205,,0.0,,,254.9999999999983,
,,,,,,7000,2.7034926414489746,595,0.844933807849884,,,,,,149.724597166,3.080555688939057e-05,,,1763416091.7117348,,,,,,
4.0,0.0,,,576.0,0.0,9875,,612,,,,,0.0,2000.0,217.268771727,,100.0,500.0,1763416159.2558093,,0.0,,,254.9999999999983,
,,0.014699820429086685,,,,10000,,614,,,2.638969898223877,,,,220.295146758,,,,1763416162.2825124,,,,,,0.7400534749031067
,,,1.3180253505706787,,,12000,,627,,1.1343982805556152e-05,,,,,268.397719524,,,,1763416210.3851497,,,,4.177175045013428,,
4.0,0.0,,,582.0,0.0,12875,,630,,,,,0.0,2000.0,284.897351288,,100.0,500.0,1763416226.8845248,,0.0,,,254.9999999999983,
4.0,0.0,,,584.0,0.0,13875,,636,,,,,0.0,2000.0,308.762910715,,100.0,500.0,1763416250.7501652,,0.0,,,254.9999999999983,
,,,0.9390111565589905,,,14000,,639,,0.0009139828616753221,,,,,311.819868957,,,,1763416253.8073792,,,,5.38556432723999,,
,,,,,,14000,,640,,,,1.2992138862609863,,,311.825557892,,,,1763416253.8130794,6.80684757232666,,0.0049812765792012215,,,
4.0,0.0,,,587.0,0.0,15375,,647,,,,,0.0,2000.0,343.733817375,,100.0,500.0,1763416285.7208893,,0.0,,,254.9999999999983,
,,0.06115664541721344,,,,16000,,650,,,5.294832706451416,,,,358.727614631,,,,1763416300.715087,,,,,,0.9894894957542419
,,,,,,18000,,664,,,,1.648356318473816,,,401.512615238,,,,1763416343.5000873,8.55376148223877,,6.319587555481121e-05,,,
,,0.0008196078124456108,,,,21000,,680,,,7.645966529846191,,,,464.201610024,,,,1763416406.1892142,,,,,,1.45953369140625
4.0,0.0,,,600.0,0.0,21875,,684,,,,,0.0,2000.0,479.307523015,,100.0,500.0,1763416421.2948477,,0.0,,,254.9999999999983,
4.0,0.0,,,601.0,0.0,22375,,689,,,,,0.0,2000.0,489.321379535,,100.0,500.0,1763416431.3084848,,0.0,,,254.9999999999983,
,,0.16284604370594025,,,,23000,,692,,,8.531824111938477,,,,504.426431197,,,,1763416446.413843,,,,,,0.7859798073768616
