robot_0/loss,global_step,episode_length,robot_1/q_std,_runtime,robot_3/q_std,robot_2/q_mean,_timestamp,epsilon,robot_0/q_mean,mean_episode_reward,total_kills_per_episode,total_agent_collisions_per_episode,survival_rate,mean_final_energy,episode,std_episode_reward,_step,total_charges_per_episode,robot_3/q_mean,robot_2/loss,robot_0/q_std,robot_1/loss,robot_3/loss,robot_2/q_std,robot_1/q_mean
,736,2.0,,19.274165179,,,1763425364.8891766,0.2,,-0.74,0.0,1.0,2.0,24.5,364.0,0.25,364,0.0,,,,,,,
,748,2.0,,19.294793547,,,1763425364.9096584,0.2,,-0.6124999999999999,0.0,1.0,2.0,24.75,370.0,0.4183524232032127,370,1.0,,,,,,,
,758,2.0,,19.310784771,,,1763425364.9258792,0.2,,-0.6,0.0,0.0,2.0,26.0,375.0,0.4373785545725808,375,1.0,,,,,,,
,800,2.0,,19.380389657,,,1763425364.9954603,0.2,,-0.865,0.0,1.0,1.0,12.25,396.0,0.21650635094610965,396,0.0,,,,,,,
,804,2.0,,19.387630549,,,1763425365.0026407,0.2,,-0.865,0.0,1.0,1.0,12.25,398.0,0.21650635094610965,398,0.0,,,,,,,
,810,2.0,,19.405827676,,,1763425365.0208342,0.2,,-0.6,0.0,0.0,2.0,26.0,401.0,0.4373785545725808,401,1.0,,,,,,,
,818,2.0,,19.418192932,,,1763425365.033227,0.2,,-0.35,0.0,0.0,3.0,50.75,405.0,0.42871902220452035,405,1.0,,,,,,,
,820,2.0,,19.421871131,,,1763425365.0367556,0.2,,-0.865,0.0,1.0,1.0,12.25,406.0,0.21650635094610965,406,0.0,,,,,,,
,822,2.0,,19.424985362,,,1763425365.0400045,0.2,,-0.4775,0.0,0.0,2.0,38.25,407.0,0.5130972130113357,407,1.0,,,,,,,
,850,2.0,,19.470888561,,,1763425365.0859618,0.2,,-0.7424999999999999,0.0,0.0,1.0,24.5,421.0,0.4286825748732971,421,0.0,,,,,,,
,858,2.0,,19.483196031,,,1763425365.0980825,0.2,,-0.6125,0.0,1.0,2.0,24.75,425.0,0.4183524232032127,425,1.0,,,,,,,
,866,2.0,,19.496015755,,,1763425365.1111543,0.2,,-0.5999999999999999,0.0,1.0,2.0,26.0,429.0,0.4373785545725808,429,1.0,,,,,,,
,868,2.0,,19.499155316,,,1763425365.1141725,0.2,,-0.74,0.0,1.0,2.0,24.5,430.0,0.25,430,0.0,,,,,,,
,890,2.0,,19.536594089,,,1763425365.1516078,0.2,,-0.6,0.0,0.0,2.0,26.0,441.0,0.4373785545725808,441,1.0,,,,,,,
,896,2.0,,19.547201121,,,1763425365.1622405,0.2,,-0.865,0.0,1.0,1.0,12.25,444.0,0.21650635094610965,444,0.0,,,,,,,
,902,2.0,,19.556842914,,,1763425365.171918,0.2,,-0.3525,0.0,0.0,3.0,50.5,447.0,0.4266365549270245,447,1.0,,,,,,,
,908,2.0,,19.566318184,,,1763425365.1813493,0.2,,-0.475,0.0,0.0,3.0,38.25,450.0,0.375066660741794,450,1.0,,,,,,,
,920,2.0,,19.585605739000002,,,1763425365.2007787,0.2,,-0.865,0.0,1.0,1.0,12.25,456.0,0.21650635094610965,456,0.0,,,,,,,
,922,2.0,,19.588951293,,,1763425365.2040727,0.2,,-0.865,0.0,1.0,1.0,12.25,457.0,0.21650635094610965,457,0.0,,,,,,,
,950,2.0,,19.637564878,,,1763425365.2526536,0.2,,-0.865,0.0,2.0,1.0,12.25,471.0,0.21650635094610965,471,0.0,,,,,,,
,952,2.0,,19.640773083,,,1763425365.2558188,0.2,,-0.37,0.0,0.0,3.0,61.25,472.0,0.4100609710762535,472,0.0,,,,,,,
,966,2.0,,19.669714306,,,1763425365.2847502,0.2,,-0.74,0.0,1.0,2.0,24.5,479.0,0.25,479,0.0,,,,,,,
,970,2.0,,19.678262858,,,1763425365.2931046,0.2,,-0.6125,0.0,1.0,2.0,24.75,481.0,0.4183524232032127,481,1.0,,,,,,,
,984,2.0,,19.707032673,,,1763425365.3218775,0.2,,-0.865,0.0,1.0,1.0,12.25,488.0,0.21650635094610965,488,0.0,,,,,,,
,988,2.0,,19.716131683,,,1763425365.3309815,0.2,,-0.865,0.0,1.0,1.0,12.25,490.0,0.21650635094610965,490,0.0,,,,,,,
,998,2.0,,19.737388705,,,1763425365.3522298,0.2,,-0.4875,0.0,0.0,2.0,37.25,495.0,0.5025124376570196,495,1.0,,,,,,,
0.18310801684856415,1000,,,20.08673813,,,1763425365.701585,,-0.43579745292663574,,,,,,,,497,,,,0.2964072525501251,,,,
,1006,2.0,,20.173378538,,,1763425365.788282,0.2,,0.025000000000000022,0.0,0.0,3.0,63.25,499.0,0.711143445445432,503,3.0,,,,,,,
,1008,2.0,,20.211521817,,,1763425365.8262956,0.2,,0.010000000000000007,0.0,0.0,3.0,74.25,500.0,0.7106686991840855,504,2.0,,,,,,,
,1011,3.0,,20.25089964,,,1763425365.8656447,0.2,,-0.09499999999999997,0.0,1.0,3.0,50.25,501.0,0.7316249038954319,505,3.0,,,,,,,
,1088,12.0,,21.101592348,,,1763425366.7162828,0.2,,4.4875,0.0,0.0,3.0,74.5,511.0,1.141279435545914,515,37.0,,,,,,,
,1189,14.0,,22.496106462,,,1763425368.1104898,0.2,,5.009999999999999,1.0,3.0,2.0,50.0,518.0,2.3591629871630317,522,43.0,,,,,,,
,1246,4.0,,23.464516413,,,1763425369.0791278,0.2,,1.175,0.0,0.0,3.0,63.75,526.0,1.0258776730195467,530,12.0,,,,,,,
,1251,5.0,,23.536209231,,,1763425369.1509397,0.2,,0.9275,0.0,0.0,3.0,50.5,527.0,0.6733266295045816,531,11.0,,,,,,,
,1283,14.0,,23.99289468,,,1763425369.6074672,0.2,,2.919999999999999,1.0,2.0,3.0,40.75,530.0,2.4030917585477254,534,27.0,,,,,,,
,1343,4.0,,24.670973274,,,1763425370.285736,0.2,,1.175,0.0,0.0,3.0,63.75,535.0,1.0258776730195467,539,12.0,,,,,,,
,1359,7.0,,24.840140953,,,1763425370.4548295,0.2,,2.0175,0.0,0.0,3.0,32.5,537.0,0.5035064547749117,541,21.0,,,,,,,
,1391,8.0,,25.179409318,,,1763425370.7941487,0.2,,1.575,0.0,1.0,3.0,49.75,539.0,0.6310507111159925,543,16.0,,,,,,,
,1445,18.0,,25.966230881,,,1763425371.5805938,0.2,,6.112499999999999,0.0,2.0,3.0,56.0,543.0,2.9319138374106424,547,51.0,,,,,,,
,1451,6.0,,26.111861202,,,1763425371.7263525,0.2,,2.0574999999999997,0.0,1.0,3.0,62.5,544.0,1.228828201987568,548,19.0,,,,,,,
