robot_3/q_std,_runtime,mean_episode_reward,robot_0/q_std,robot_2/loss,total_kills_per_episode,robot_2/q_std,episode,robot_3/loss,robot_2/q_mean,total_immediate_kills_per_episode,epsilon,_timestamp,episode_length,total_charges_per_episode,std_episode_reward,_step,total_non_home_charges_per_episode,global_step,robot_1/q_std,robot_3/q_mean,robot_1/loss,survival_rate,mean_final_energy,robot_0/loss,robot_0/q_mean,robot_1/q_mean,total_agent_collisions_per_episode
,22.298231432,6.6949999999999985,,,0.0,,486.0,,,0.0,0.08750185146499175,1763495834.2306705,20.0,57.0,3.101213472175044,490,0.0,1126,,,,2.0,37.5,,,,2.0
,24.376404507,1.405,,,0.0,,491.0,,,1.0,0.08533607153708872,1763495836.3091295,7.0,14.0,1.8697392866386475,495,0.0,1213,,,,3.0,58.75,,,,2.0
,25.806107737,7.707499999999998,,,1.0,,493.0,,,1.0,0.08448484422350626,1763495837.7384598,36.0,64.0,5.16677063067445,497,0.0,1273,,,,3.0,35.0,,,,1.0
,30.389800921,7.457499999999998,,,0.0,,500.0,,,0.0,0.08157186144027828,1763495842.3225927,21.0,61.0,2.4160957659000193,504,0.0,1463,,,,3.0,62.5,,,,0.0
,30.584547263,0.8900000000000001,,,0.0,,501.0,,,0.0,0.0811640021330769,1763495842.5175846,8.0,10.0,1.4197887166758298,505,0.0,1471,,,,3.0,56.25,,,,0.0
,36.855539266,10.662499999999996,,,1.0,,511.0,,,1.0,0.07719590465791494,1763495848.7883244,44.0,86.0,7.7893689571107085,515,0.0,1725,,,,3.0,47.5,,,,3.0
,39.373671852,1.9924999999999993,,,0.0,,518.0,,,0.0,0.0745342397963533,1763495851.306549,12.0,19.0,2.683285066853687,522,0.0,1826,,,,3.0,50.0,,,,1.0
,43.329702382,1.35,,,0.0,,526.0,,,0.0,0.0716045256805401,1763495855.2626483,4.0,13.0,0.8213099293202293,530,0.0,1983,,,,3.0,68.75,,,,0.0
0.785626232624054,43.788457899,,,,,,,0.022995438426733017,,,,1763495855.7217038,,,,534,,2000,,0.47322773933410645,,,,,,,
,45.390142855,7.917499999999998,,,0.0,,531.0,,,0.0,0.06983222438783,1763495857.322856,22.0,66.0,2.8600295015960935,539,0.0,2068,,,,3.0,45.0,,,,0.0
,46.661406284,13.38,,,0.0,,533.0,,,0.0,0.0691356479495614,1763495858.5943935,32.0,107.0,3.5414756811250325,541,0.0,2122,,,,3.0,68.75,,,,2.0
,53.986505892,21.434999999999977,,,0.0,,539.0,,,0.0,0.06708733218678724,1763495865.9192717,80.0,169.0,17.63249627817909,547,0.0,2413,,,,3.0,51.25,,,,2.0
,56.771950326,2.8175,,,0.0,,542.0,,,0.0,0.0660860453679829,1763495868.7049074,7.0,24.0,1.30336823269558,550,0.0,2525,,,,3.0,75.0,,,,0.0
,61.685365879,6.804999999999998,,,0.0,,547.0,,,0.0,0.06445033334388098,1763495873.6182024,17.0,56.0,2.709690941786535,555,0.0,2726,,,,3.0,63.75,,,,0.0
,64.567544659,10.1275,,,0.0,,551.0,,,0.0,0.06317096204211972,1763495876.500496,23.0,82.0,1.364558078646709,559,0.0,2847,,,,3.0,65.0,,,,0.0
,68.239816317,,,0.006181223317980766,,0.5836308002471924,,,0.8806192874908447,,,1763495880.1730754,,,,567,,3000,,,,,,,,,
0.8133134245872498,68.244232458,,,,,,,0.011355159804224968,,,,1763495880.1775382,,,,568,,3000,,1.6194320917129517,,,,,,,
,69.928299646,20.940000000000005,,,0.0,,558.0,,,0.0,0.0609928681304848,1763495881.8609595,53.0,166.0,8.904917180973674,570,0.0,3073,,,,3.0,66.25,,,,0.0
,75.736031667,22.395000000000024,,,0.0,,561.0,,,0.0,0.06008254194952879,1763495887.6683915,56.0,178.0,6.244071187935018,573,0.0,3318,,,,3.0,58.75,,,,0.0
1.1443042755126953,93.093155496,,,,,,,0.0072468919679522514,,,,1763495905.0264215,,,,589,,4000,,1.8141003847122192,,,,,,,
,101.874702581,19.892500000000005,,,0.0,,577.0,,,0.0,0.0554520479727078,1763495913.8074603,42.0,158.0,1.7583426145094723,593,0.0,4352,,,,3.0,72.5,,,,0.0
,104.879598239,12.822500000000005,,,0.0,,579.0,,,0.0,0.05489891379418004,1763495916.812527,30.0,105.0,0.9297950042885805,595,0.0,4467,,,,3.0,40.0,,,,0.0
,124.535581807,28.66000000000003,,,0.0,,592.0,,,0.0,0.05143559895690903,1763495936.4684072,60.0,227.0,2.06870732584385,612,0.0,5260,,,,3.0,68.75,,,,0.0
