robot_2/loss,_runtime,robot_1/loss,robot_2/q_mean,robot_3/q_mean,robot_3/q_std,std_episode_reward,robot_1/q_std,robot_0/q_std,epsilon,mean_episode_reward,episode_length,total_kills_per_episode,total_immediate_kills_per_episode,robot_0/loss,robot_3/loss,survival_rate,_step,robot_0/q_mean,total_charges_per_episode,total_agent_collisions_per_episode,episode,global_step,mean_final_energy,total_non_home_charges_per_episode,robot_1/q_mean,robot_2/q_std,_timestamp
,112.901723426,,,,,2.587666661299327,,,0.0745342397963533,12.007500000000004,31.0,0.0,0.0,,,3.0,534,,100.0,0.0,518.0,4866,70.0,0.0,,,1763511539.3397806
0.01116645522415638,116.147412971,,1.7007256746292114,,,,,,,,,,,,,,539,,,,,5000,,,,0.8796376585960388,1763511542.5859394
,116.256284443,,,,,1.5213234370113247,,,0.07342180695061275,32.72500000000001,69.0,0.0,0.0,,,3.0,541,,261.0,0.0,521.0,5005,91.25,0.0,,,1763511542.6945856
,122.184300991,,,,,5.703369618041604,,,0.0712465030521374,17.755000000000003,42.0,0.0,0.0,,,3.0,547,,142.0,0.0,527.0,5250,108.75,0.0,,,1763511548.6226568
,124.641525237,,,,,5.107276059701493,,,0.07018314008827135,17.2975,45.0,0.0,0.0,,,3.0,550,,140.0,1.0,530.0,5350,85.0,0.0,,,1763511551.0796266
,127.283832581,,,,,1.9528872855339088,,,0.06844601986126451,2.9524999999999997,8.0,0.0,0.0,,,3.0,555,,26.0,1.0,535.0,5456,112.5,0.0,,,1763511553.721975
,131.54037844,,,,,4.763928919494923,,,0.06708733218678724,34.25750000000002,76.0,0.0,0.0,,,3.0,559,,273.0,1.0,539.0,5629,87.5,0.0,,,1763511557.9785519
,140.470022347,,,,,,,1.0696531534194946,,,,,,0.005062338430434465,,,567,1.4687886238098145,,,,6000,,,,,1763511566.9082766
,140.476576704,0.012369303032755852,,,,,1.1138402223587036,,,,,,,,,,568,,,,,6000,,,2.3291494846343994,,1763511566.91501
,140.489625717,,,2.7244181632995605,1.1984481811523438,,,,,,,,,,0.007222894113510847,,570,,,,,6000,,,,,1763511566.9280934
,141.730710685,,,,,1.3527934062524116,,,0.06380744126877576,8.61,20.0,0.0,0.0,,,3.0,573,,73.0,0.0,549.0,6053,78.75,0.0,,,1763511568.1689045
,156.489841359,,,,,1.3444399391568302,,,0.058889873488111255,20.042500000000008,42.0,0.0,0.0,,,3.0,589,,160.0,0.0,565.0,6669,112.5,0.0,,,1763511582.9279757
,160.222640915,,,,,1.7861323439208072,,,0.05772088009124167,22.027500000000003,48.0,0.0,0.0,,,3.0,593,,178.0,0.0,569.0,6821,80.0,0.0,,,1763511586.6606977
,164.313960867,,,,,6.543206400534834,,,0.05714511431233153,46.910000000000004,105.0,0.0,0.0,,,3.0,595,,372.0,2.0,571.0,6991,86.25,20.0,,,1763511590.752177
,179.790213529,,,,,1.7885102040525194,,,0.05354009722551939,11.507500000000002,26.0,0.0,0.0,,,3.0,612,,95.0,0.0,584.0,7633,87.5,0.0,,,1763511606.228583
,182.044298554,,,,,4.02706701583174,,,0.053006034755694834,26.53750000000001,59.0,0.0,0.0,,,3.0,614,,211.0,0.0,586.0,7728,107.5,0.0,,,1763511608.4824324
,193.222059886,,,,,2.8291871624196214,,,0.05066791621302729,15.120000000000001,36.0,0.0,0.0,,,3.0,627,,124.0,1.0,595.0,8350,76.25,0.0,,,1763511619.6603403
,194.487368229,,,,,1.3035600293043643,,,0.049911691230058335,10.8475,25.0,0.0,0.0,,,3.0,630,,90.0,0.0,598.0,8414,85.0,0.0,,,1763511620.925305
,200.785877015,,,,,5.258043243450915,,,0.048432933065126825,34.78250000000003,76.0,0.0,0.0,,,3.0,636,,276.0,0.0,604.0,8729,102.5,0.0,,,1763511627.223916
,203.330502282,,,,,2.5872318701654753,,,0.04771006548501318,34.59250000000003,72.0,0.0,0.0,,,3.0,639,,274.0,0.0,607.0,8834,112.5,0.0,,,1763511629.7685642
,204.664169893,,,,,10.582344671668947,,,0.047471515157588115,19.74750000000001,55.0,0.0,0.0,,,3.0,640,,159.0,0.0,608.0,8889,82.5,0.0,,,1763511631.1023464
,211.119454686,,,,,5.211674395048105,,,0.04676299685992172,50.55000000000001,109.0,0.0,0.0,,,3.0,647,,399.0,0.0,611.0,9151,108.75,0.0,,,1763511637.5574427
,214.58230888,,,,,2.540974222616201,,,0.046065053286412784,16.590000000000007,38.0,1.0,1.0,,,3.0,650,,135.0,1.0,614.0,9294,83.75,0.0,,,1763511641.0204453
,235.311204873,,,,,2.00734277092877,,,0.043812938841152796,15.885000000000002,35.0,0.0,0.0,,,3.0,664,,130.0,0.0,624.0,10155,78.75,0.0,,,1763511661.7492723
,265.138695542,,,,,0.8798011138887929,,,0.04125526245077418,54.09999999999999,114.0,0.0,0.0,,,3.0,680,,429.0,0.0,636.0,11383,83.75,0.0,,,1763511691.576885
,267.846299476,,,,,1.8305105162221937,,,0.04043632488927963,27.237500000000022,59.0,0.0,0.0,,,3.0,684,,220.0,1.0,640.0,11611,65.0,0.0,,,1763511694.284624
,271.922863599,0.03654022887349129,,,,,2.1982274055480957,,,,,,,,,,689,,,,,12000,,,4.989200592041016,,1763511698.361457
,272.984744219,,,,,2.1437233963364437,,,0.03963364364733769,79.91000000000012,165.0,0.0,0.0,,,3.0,692,,632.0,0.0,644.0,12100,76.25,0.0,,,1763511699.4227922
,281.853879074,,,,,1.0804021242111659,,,0.03845939824099909,5.972499999999998,15.0,0.0,0.0,,,3.0,698,,53.0,0.0,650.0,12635,70.0,0.0,,,1763511708.29203
,286.490013354,,,,,1.2095531199579461,,,0.03769595998025326,15.4275,33.0,0.0,0.0,,,3.0,702,,125.0,0.0,654.0,12821,97.5,0.0,,,1763511712.9283297
,286.945650673,,,,,1.4620255640719824,,,0.03750748018035199,8.177499999999998,18.0,0.0,0.0,,,3.0,703,,67.0,0.0,655.0,12839,112.5,0.0,,,1763511713.3838263
,290.834752673,,,,,,,0.8643881678581238,,,,,,0.00830303318798542,,,707,5.415432453155518,,,,13000,,,,,1763511717.2729604
,314.032094616,,,,,1.4862452691262134,,,0.03496560272750046,81.58500000000012,165.0,0.0,0.0,,,3.0,721,,644.0,0.0,669.0,13966,93.75,0.0,,,1763511740.4701664
0.00924584548920393,314.882836299,,6.383548736572266,,,,,,,,,,,,,,725,,,,,14000,,,,0.433572918176651,1763511741.321349
,321.130890623,,,,,2.4949486467660846,,,0.034271518052411715,66.32750000000006,138.0,0.0,0.0,,,3.0,729,,523.0,1.0,673.0,14259,107.5,0.0,,,1763511747.5691924
,323.81288639,,,,,13.36646994348168,,,0.034100160462149656,46.742500000000035,112.0,0.0,0.0,,,3.0,730,,368.0,1.0,674.0,14371,112.5,0.0,,,1763511750.2509274
,359.581697298,,,,,4.3015026444255335,,,0.03147209942303359,49.31499999999999,108.0,1.0,1.0,,,3.0,750,,393.0,2.0,690.0,15883,61.25,0.0,,,1763511786.0197296
,366.714001802,,,,,1.7870418993409363,,,0.03100237440513238,40.93250000000002,86.0,0.0,0.0,,,3.0,757,,326.0,0.0,693.0,16175,82.5,0.0,,,1763511793.1521316
,376.432183069,,,,,1.660050827535107,,,0.030235026982422884,35.387499999999996,74.0,0.0,0.0,,,3.0,762,,281.0,0.0,698.0,16570,102.5,0.0,,,1763511802.8705597
,383.861028023,,,,,6.78564108983081,,,0.02948667236521416,46.18500000000002,105.0,0.0,0.0,,,3.0,767,,366.0,1.0,703.0,16873,88.75,0.0,,,1763511810.299184
,387.051104945,0.007951851934194565,,,,,2.553828001022339,,,,,,,,,,771,,,,,17000,,,7.591939926147461,,1763511813.4896991
,387.063536798,,,7.858583450317383,2.5262959003448486,,,,,,,,,,0.12292975187301636,,773,,,,,17000,,,,,1763511813.5021255
,388.758130354,,,,,2.068707325843869,,,0.02904658009432929,33.250000000000014,69.0,1.0,0.0,,,3.0,774,,264.0,2.0,706.0,17069,106.25,0.0,,,1763511815.1961904
,396.070486144,,,,,37.06163852287195,,,0.028901347193857643,107.84000000000027,268.0,1.0,1.0,,,3.0,775,,848.0,9.0,707.0,17337,66.25,0.0,,,1763511822.508631
