global_step,robot_2/q_std,mean_episode_reward,robot_1/q_mean,episode,robot_2/loss,robot_0/q_std,_runtime,robot_3/q_std,robot_2/q_mean,robot_3/q_mean,mean_final_energy,robot_1/loss,robot_0/loss,epsilon,_timestamp,robot_1/q_std,total_agent_collisions_per_episode,episode_length,total_kills_per_episode,robot_3/loss,robot_0/q_mean,total_charges_per_episode,_step,survival_rate,std_episode_reward
72000,,,,,,,1680.955492287,0.6065582036972046,,27.0208740234375,,,,,1763437742.328504,,,,,0.05303090065717697,,,593,,
72893,,192.42749999999964,,307.0,,,1702.599524811,,,,192.75,,,0.21462770857094118,1763437763.971876,,19.0,500.0,0.0,,,1500.0,595,4.0,2.5815245011427064
75171,,190.09999999999968,,312.0,,,1749.977839283,,,,197.5,,,0.20931540516921554,1763437811.3503234,,25.0,500.0,0.0,,,1481.0,612,4.0,1.929650227372834
76000,,,,,,0.5615293383598328,1769.31380266,,,,,,0.05738426372408867,,1763437830.686353,,,,,,27.646347045898438,,614,,
78171,,187.7074999999998,,318.0,,,1819.184050144,,,,195.75,,,0.2031139149609751,1763437880.556569,,35.0,500.0,0.0,,,1462.0,630,4.0,4.9891551138442765
79025,,138.0375000000003,,320.0,,,1839.149552177,,,,150.0,,,0.2010878536592394,1763437900.5221438,,10.0,354.0,0.0,,,1080.0,636,3.0,9.236748277938489
80000,1.379852294921875,,,,0.029481129720807076,,1862.653737759,,29.520828247070312,,,,,,1763437924.0266798,,,,,,,,640,,
81736,,145.0450000000002,,326.0,,,1904.350972257,,,,100.75,,,0.19513012515638165,1763437965.723428,,42.0,379.0,2.0,,,1138.0,650,3.0,2.9221439047383955
84000,,,,,,0.42785394191741943,1949.781703525,,,,,,0.03159765899181366,,1763438011.1542103,,,,,,29.6920108795166,,664,,
87000,,,31.010601043701172,,,,2014.459027069,,,,,0.05881683528423309,,,1763438075.8320596,1.090875506401062,,,,,,,684,,
87757,,59.939999999999955,,341.0,,,2030.132337135,,,,148.75,,,0.18099664897669618,1763438091.504794,,11.0,158.0,0.0,,,471.0,689,3.0,11.150159191688713
89000,,,31.301612854003906,,,,2056.063481166,,,,,0.10798001289367676,,,1763438117.4362452,1.2009990215301514,,,,,,,698,,
89742,,189.6549999999997,,346.0,,,2067.226855691,,,,144.75,,,0.17651675623376062,1763438128.5992987,,22.0,471.0,0.0,,,1484.0,702,3.0,9.150137977101638
90000,,,,,,0.6330429911613464,2072.094698059,,,,,,0.034754931926727295,,1763438133.467335,,,,,,30.983888626098633,,703,,
90165,,168.29499999999987,,347.0,,,2075.940679654,,,,144.25,,,0.1756341724525918,1763438137.3131506,,20.0,423.0,0.0,,,1317.0,707,3.0,11.631703443606062
94000,,,,,,0.5000762343406677,2166.445924334,,,,,,0.14551056921482086,,1763438227.8186479,,,,,,32.162540435791016,,729,,
98000,,,,,,0.8019200563430786,2262.977701224,,,,,,0.03881612420082092,,1763438324.350494,,,,,,32.47142791748047,,757,,
98902,,211.87499999999937,,370.0,,,2284.274117245,,,,200.0,,,0.15650920157696743,1763438345.646559,,7.0,500.0,0.0,,,1655.0,762,4.0,4.3785699720341755
99402,,199.52249999999944,,371.0,,,2290.025529813,,,,64.75,,,0.1557266555690826,1763438351.3981326,,52.0,500.0,0.0,,,1567.0,767,4.0,5.200674836018796
100294,,74.40500000000002,,375.0,,,2306.326479617,,,,107.25,,,0.1526354036900377,1763438367.6989107,,23.0,196.0,0.0,,,587.0,775,3.0,6.3125133663225235
102000,1.413948655128479,,,,0.15176227688789368,,2339.047823566,,33.743316650390625,,,,,,1763438400.4205718,,,,,,,,788,,
102000,,,,,,,2339.053785387,1.0690743923187256,,35.24018478393555,,,,,1763438400.4265962,,,,,0.10603905469179153,,,789,,
103000,,,,,,,2362.682446239,0.6369131803512573,,35.1708984375,,,,,1763438424.0552568,,,,,0.013434436172246933,,,797,,
104696,,207.6224999999994,,390.0,,,2402.71804971,,,,199.75,,,0.14157986400593744,1763438464.0904365,,27.0,500.0,0.0,,,1621.0,806,4.0,7.99718817772834
106000,,,,,,1.22431218624115,2432.408670537,,,,,,0.16319400072097778,,1763438493.7812922,,,,,,33.584598541259766,,815,,
108000,,,34.55171203613281,,,,2479.226664082,,,,,0.13348601758480072,,,1763438540.599446,1.151804804801941,,,,,,,830,,
111887,,14.692499999999997,,419.0,,,2570.517077721,,,,126.5,,,0.12242520289863423,1763438631.889584,,22.0,43.0,1.0,,,120.0,863,3.0,4.814303558148363
112525,,27.35250000000002,,424.0,,,2585.55673542,,,,94.0,,,0.11939502647758558,1763438646.9292722,,18.0,79.0,0.0,,,221.0,872,3.0,7.500304577148852
113000,,,,,,1.0113625526428223,2596.766514095,,,,,,0.07621951401233673,,1763438658.1390545,,,,,,34.97883224487305,,876,,
116047,,30.170000000000023,,452.0,,,2664.089956226,,,,109.25,,,0.10376060541355137,1763438725.4624455,,13.0,83.0,1.0,,,242.0,916,3.0,7.294556189378482
116575,,16.82750000000001,,458.0,,,2674.846120412,,,,25.5,,,0.10068643904747315,1763438736.2185621,,24.0,70.0,1.0,,,143.0,922,3.0,6.923302589804964
117000,3.205820322036743,,,,0.05173293128609657,,2684.842268783,,36.23298645019531,,,,,,1763438746.2150166,,,,,,,,930,,
117072,,34.622499999999974,,464.0,,,2686.531508306,,,,10.0,,,0.09770335251664321,1763438747.9040012,,36.0,115.0,1.0,,,283.0,932,3.0,4.187023853526473
117541,,42.72,,470.0,,,2697.729702283,,,,104.25,,,0.09480864735409487,1763438759.1021845,,18.0,118.0,1.0,,,340.0,938,3.0,12.919583971630027
117852,,20.002499999999998,,473.0,,,2705.191531499,,,,33.0,,,0.09339361644125409,1763438766.5639691,,35.0,80.0,0.0,,,167.0,941,3.0,7.265942385540917
117880,,7.522499999999999,,474.0,,,2705.883642341,,,,112.0,,,0.09292664835904782,1763438767.255976,,16.0,28.0,5.0,,,65.0,942,3.0,6.615611744200228
118045,,7.205000000000002,,476.0,,,2709.852155517,,,,24.25,,,0.09199970504166631,1763438771.2247636,,26.0,59.0,0.0,,,67.0,948,3.0,6.49342167119925
120000,,,,,,0.8381966948509216,2756.367500989,,,,,,0.08673381805419922,,1763438817.740029,,,,,,35.868499755859375,,974,,
120189,,20.327499999999997,,500.0,,,2760.878212399,,,,31.5,,,0.08157186144027828,1763438822.2506833,,19.0,114.0,0.0,,,167.0,980,3.0,8.804528309341718
120575,,29.857500000000005,,505.0,,,2770.058659436,,,,74.0,,,0.07955285615946175,1763438831.4311035,,13.0,87.0,2.0,,,242.0,985,3.0,6.432831316768695
120597,,2.305,,506.0,,,2770.583379,,,,83.75,,,0.07915509187866444,1763438831.9559035,,24.0,22.0,0.0,,,26.0,986,3.0,2.743287261662548
121000,,,36.67186737060547,,,,2780.165706095,,,,,0.04050937294960022,,,1763438841.5385063,0.8006397485733032,,,,,,,994,,
121000,2.4411468505859375,,,,0.28918156027793884,,2780.17178807,,36.28434753417969,,,,,,1763438841.5447228,,,,,,,,995,,
121011,,6.0775000000000015,,513.0,,,2780.419135796,,,,27.5,,,0.07642587550895225,1763438841.7916508,,25.0,43.0,1.0,,,59.0,997,3.0,1.371356536426615
121225,,29.122500000000006,,516.0,,,2785.51569907,,,,43.5,,,0.07528520976374668,1763438846.8881147,,15.0,94.0,0.0,,,238.0,1000,3.0,4.142121286249346
122192,,25.889999999999997,,527.0,,,2807.400415869,,,,34.75,,,0.0712465030521374,1763438868.7730682,,39.0,117.0,0.0,,,211.0,1015,3.0,8.24360964626538
122869,,23.734999999999978,,532.0,,,2823.261576285,,,,52.75,,,0.06948306326589085,1763438884.6341643,,43.0,96.0,0.0,,,194.0,1020,3.0,11.387604006111198
123539,,11.650000000000004,,539.0,,,2839.017912044,,,,79.75,,,0.06708733218678724,1763438900.390612,,12.0,48.0,0.0,,,99.0,1031,3.0,8.698241201530344
124000,,,,,,0.7126145362854004,2845.770935196,,,,,,0.03529839590191841,,1763438907.1438215,,,,,,36.49486541748047,,1035,,
125449,,19.280000000000012,,550.0,,,2879.410175147,,,,80.75,,,0.06348840406243188,1763438940.782715,,1.0,60.0,0.0,,,159.0,1050,3.0,6.552625428025027
125830,,17.7075,,553.0,,,2888.00293032,,,,47.5,,,0.06254083169574957,1763438949.3755271,,19.0,86.0,0.0,,,147.0,1053,3.0,5.738063153190284
126330,,206.9449999999992,,554.0,,,2899.899984211,,,,69.5,,,0.062228127537270826,1763438961.2726443,,49.0,500.0,0.0,,,1626.0,1058,4.0,31.96781389147474
129000,,,,,,0.7088496685028076,2958.113738563,,,,,,0.02011391520500183,,1763439019.4863875,,,,,,37.47528839111328,,1082,,
129000,,,38.43922424316406,,,,2958.120067196,,,,,0.01833776757121086,,,1763439019.4928827,0.8318632245063782,,,,,,,1083,,
129858,,125.56249999999993,,575.0,,,2978.904063965,,,,29.5,,,0.05601075525639029,1763439040.276576,,79.0,402.0,1.0,,,986.0,1091,3.0,24.79330290118669
130000,,,38.34545135498047,,,,2982.345463231,,,,,0.09179814904928207,,,1763439043.7182674,1.2431623935699463,,,,,,,1093,,
131000,,,,,,1.450258493423462,3004.990148794,,,,,,0.07384224236011505,,1763439066.362691,,,,,,37.752685546875,,1103,,
131000,,,,,,,3005.009167149,7.145654678344727,,49.724517822265625,,,,,1763439066.3820987,,,,,0.8698564767837524,,,1106,,
132000,,,,,,,3028.857095543,8.085928916931152,,52.54108810424805,,,,,1763439090.2299478,,,,,1.5632619857788086,,,1118,,
132795,,36.57500000000002,,597.0,,,3045.855920169,,,,100.25,,,0.050162503748802344,1763439107.228326,,41.0,120.0,0.0,,,291.0,1125,3.0,13.16395552256234
133219,,25.000000000000014,,601.0,,,3054.603479987,,,,88.25,,,0.04916675299948831,1763439115.975875,,18.0,87.0,0.0,,,202.0,1133,3.0,12.260866608849486
134171,,12.682500000000006,,609.0,,,3077.273731606,,,,39.5,,,0.047234157581800176,1763439138.6465101,,41.0,54.0,0.0,,,110.0,1145,3.0,1.526390759274964
136196,,165.06249999999986,,620.0,,,3125.380221044,,,,75.0,,,0.04470026135116646,1763439186.752724,,30.0,494.0,0.0,,,1291.0,1164,3.0,22.649425351429635
136662,,151.56749999999982,,621.0,,,3136.538558555,,,,91.0,,,0.04447676004441063,1763439197.9114301,,18.0,466.0,0.0,,,1184.0,1165,3.0,41.99464511994323
137367,,39.230000000000004,,624.0,,,3153.242783963,,,,30.75,,,0.043812938841152796,1763439214.6152623,,33.0,180.0,0.0,,,313.0,1172,3.0,20.980849601481825
138400,,43.98,,629.0,,,3175.614102059,,,,66.75,,,0.04272851397543923,1763439236.9867384,,16.0,169.0,0.0,,,349.0,1181,3.0,24.35769590909619
139000,,,40.369659423828125,,,,3186.531186078,,,,,0.18107378482818604,,,1763439247.904121,2.3288705348968506,,,,,,,1186,,
140000,4.911799907684326,,,,0.5093057751655579,,3210.874270849,,41.62196731567383,,,,,,1763439272.2472043,,,,,,,,1197,,
142000,,,,,,3.11200213432312,3258.701197854,,,,,,0.11276571452617645,,1763439320.0738027,,,,,,40.604034423828125,,1213,,
142000,5.416555404663086,,,,0.09006097912788391,,3258.713889052,,41.197242736816406,,,,,,1763439320.0867143,,,,,,,,1215,,
143000,,,,,,,3282.904798266,17.83111572265625,,65.78926849365234,,,,,1763439344.2776375,,,,,2.555330276489258,,,1226,,
144000,,,42.01418685913086,,,,3307.03396639,,,,,0.19204893708229065,,,1763439368.406756,4.093801021575928,,,,,,,1230,,
144530,,178.69499999999988,,658.0,,,3319.528734991,,,,94.5,,,0.03694767635022522,1763439380.9009912,,31.0,500.0,0.0,,,1398.0,1234,4.0,29.335322139018217
146000,6.989023208618164,,,,0.21438409388065338,,3355.10585367,,43.83753204345703,,,,,,1763439416.478557,,,,,,,,1245,,
