total_kills_per_episode,global_step,robot_1/loss,robot_3/q_mean,mean_final_energy,robot_3/loss,total_charges_per_episode,_runtime,_timestamp,mean_episode_reward,total_agent_collisions_per_episode,_step,robot_0/q_std,robot_2/loss,episode_length,robot_1/q_mean,survival_rate,episode,robot_0/loss,robot_2/q_mean,robot_3/q_std,robot_0/q_mean,std_episode_reward,epsilon,robot_1/q_std,robot_2/q_std
0.0,704,,,38.5,,2.0,18.775239129,1763425028.9416573,-0.3475,1.0,332,,,2.0,,3.0,332.0,,,,,0.43083494519363214,0.5,,
0.0,714,,,38.25,,1.0,18.789082419,1763425028.9557173,-0.475,1.0,337,,,2.0,,3.0,337.0,,,,,0.375066660741794,0.5,,
0.0,720,,,50.5,,1.0,18.797154169,1763425028.9636009,-0.3525,0.0,340,,,2.0,,3.0,340.0,,,,,0.42663655492702446,0.5,,
0.0,722,,,50.75,,2.0,18.799586127,1763425028.9660711,-0.22499999999999998,0.0,341,,,2.0,,3.0,341.0,,,,,0.4424081825644729,0.5,,
0.0,745,,,49.25,,1.0,18.828837674,1763425028.9954398,-0.365,1.0,352,,,2.0,,3.0,352.0,,,,,0.4146383966783588,0.5,,
0.0,747,,,36.75,,0.0,18.830969944,1763425028.997611,-0.6174999999999999,1.0,353,,,2.0,,2.0,353.0,,,,,0.41081473926820106,0.5,,
0.0,749,,,36.75,,0.0,18.833833346,1763425029.0003417,-0.6174999999999999,0.0,354,,,2.0,,2.0,354.0,,,,,0.41081473926820106,0.5,,
0.0,758,,,49.25,,1.0,18.844761761,1763425029.0113387,-0.365,0.0,358,,,2.0,,3.0,358.0,,,,,0.4146383966783588,0.5,,
0.0,766,,,49.25,,0.0,18.854811163,1763425029.0213404,-0.4925,0.0,362,,,2.0,,2.0,362.0,,,,,0.49751256265545696,0.5,,
0.0,771,,,12.25,,0.0,18.859725497,1763425029.0263,-0.865,1.0,364,,,2.0,,1.0,364.0,,,,,0.21650635094610965,0.5,,
0.0,783,,,24.5,,0.0,18.873843659,1763425029.0404034,-0.74,0.0,370,,,2.0,,2.0,370.0,,,,,0.25,0.5,,
0.0,793,,,38.5,,2.0,18.885649945,1763425029.0521705,-0.35,0.0,375,,,2.0,,2.0,375.0,,,,,0.6586349520030045,0.5,,
0.0,839,,,38.5,,1.0,18.944679535,1763425029.1112077,-0.475,2.0,396,,,2.0,,2.0,396.0,,,,,0.5154367080447414,0.5,,
0.0,844,,,24.75,,1.0,18.950599386,1763425029.117266,-0.6125,1.0,398,,,2.0,,2.0,398.0,,,,,0.4183524232032127,0.5,,
0.0,850,,,24.5,,0.0,18.967023192,1763425029.1336553,-0.74,0.0,401,,,2.0,,2.0,401.0,,,,,0.25,0.5,,
0.0,858,,,37.0,,0.0,18.977279771,1763425029.1436327,-0.615,1.0,405,,,2.0,,2.0,405.0,,,,,0.414578098794425,0.5,,
0.0,860,,,38.25,,1.0,18.980285011,1763425029.1467748,-0.475,1.0,406,,,2.0,,3.0,406.0,,,,,0.375066660741794,0.5,,
0.0,862,,,37.0,,0.0,18.982803779,1763425029.1494846,-0.615,0.0,407,,,2.0,,2.0,407.0,,,,,0.414578098794425,0.5,,
0.0,890,,,49.5,,2.0,19.020548403,1763425029.1870332,-0.2375,1.0,421,,,2.0,,3.0,421.0,,,,,0.7541675874764177,0.5,,
0.0,898,,,24.5,,0.0,19.030650402,1763425029.1973474,-0.74,0.0,425,,,2.0,,2.0,425.0,,,,,0.25,0.5,,
0.0,906,,,36.75,,0.0,19.042423317,1763425029.2090294,-0.6174999999999999,0.0,429,,,2.0,,2.0,429.0,,,,,0.41081473926820106,0.5,,
0.0,908,,,37.0,,1.0,19.045001858,1763425029.2115333,-0.4875,1.0,430,,,2.0,,3.0,430.0,,,,,0.35709767571352236,0.5,,
1.0,932,,,24.5,,3.0,19.076063781,1763425029.2424917,-0.355,1.0,441,,,3.0,,2.0,441.0,,,,,0.5494770240874499,0.5,,
0.0,938,,,24.5,,0.0,19.084684679,1763425029.251095,-0.74,0.0,444,,,2.0,,2.0,444.0,,,,,0.25,0.5,,
0.0,945,,,36.75,,0.0,19.094276707,1763425029.2607903,-0.6174999999999999,1.0,447,,,2.0,,2.0,447.0,,,,,0.41081473926820106,0.5,,
0.0,952,,,26.0,,1.0,19.103096831,1763425029.2696204,-0.6,0.0,450,,,2.0,,2.0,450.0,,,,,0.4373785545725808,0.5,,
0.0,964,,,38.5,,1.0,19.11890807,1763425029.2854278,-0.475,0.0,456,,,2.0,,2.0,456.0,,,,,0.5154367080447414,0.5,,
0.0,966,,,24.5,,0.0,19.121837852,1763425029.2882462,-0.74,3.0,457,,,2.0,,2.0,457.0,,,,,0.25,0.5,,
0.0,1000,,,24.0,,1.0,19.442885931,1763425029.6090615,-0.61,0.0,471,,,3.0,,2.0,471.0,,,,,0.21365860619221497,0.5,,
,1000,,,,,,19.447457556,1763425029.6138828,,,472,0.45000699162483215,,,,,,0.5180331468582153,,,-0.5547699928283691,,,,
0.0,1018,,,38.5,,4.0,19.784710244,1763425029.950825,-0.08749999999999997,2.0,479,,,3.0,,3.0,475.0,,,,,0.958837186387762,0.5,,
0.0,1026,,,62.5,,5.0,19.963910893,1763425030.130069,0.2675,0.0,481,,,2.0,,3.0,477.0,,,,,0.8329278180010559,0.5,,
0.0,1054,,,61.5,,1.0,20.525307027,1763425030.6914897,-0.2425,0.0,488,,,2.0,,3.0,484.0,,,,,0.5579146440092785,0.5,,
1.0,1068,,,37.25,,3.0,20.735665535,1763425030.901778,-0.20749999999999996,2.0,490,,,5.0,,2.0,486.0,,,,,0.8329278180010559,0.5,,
1.0,1097,,,28.25,,9.0,21.312800362,1763425031.478892,0.45500000000000007,3.0,495,,,5.0,,3.0,491.0,,,,,1.3411655378811371,0.5,,
0.0,1105,,,74.5,,3.0,21.500951035,1763425031.6671019,0.1375,1.0,497,,,2.0,,3.0,493.0,,,,,0.742474747045312,0.5,,
