/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run snphsh0j
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251118_112059-snphsh0j
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/snphsh0j
Using device: cuda
[Episode 76] Steps: 63 | Survival: 3/4 | Mean Reward: 8.23 | Collisions: 28 | Kills: 0
[Episode 77] Steps: 64 | Survival: 3/4 | Mean Reward: 7.82 | Collisions: 27 | Kills: 0
[Episode 78] Steps: 59 | Survival: 3/4 | Mean Reward: 6.98 | Collisions: 17 | Kills: 0
[Episode 79] Steps: 104 | Survival: 3/4 | Mean Reward: 15.98 | Collisions: 31 | Kills: 0
[Episode 80] Steps: 75 | Survival: 3/4 | Mean Reward: 9.24 | Collisions: 32 | Kills: 1
[Episode 81] Steps: 53 | Survival: 3/4 | Mean Reward: 6.96 | Collisions: 22 | Kills: 0
[Episode 82] Steps: 37 | Survival: 3/4 | Mean Reward: 4.17 | Collisions: 15 | Kills: 1
[Episode 83] Steps: 81 | Survival: 3/4 | Mean Reward: 10.88 | Collisions: 28 | Kills: 1
[Episode 84] Steps: 40 | Survival: 3/4 | Mean Reward: 5.76 | Collisions: 19 | Kills: 2
[Episode 85] Steps: 45 | Survival: 3/4 | Mean Reward: 7.37 | Collisions: 20 | Kills: 2
[Episode 86] Steps: 81 | Survival: 3/4 | Mean Reward: 11.17 | Collisions: 29 | Kills: 0
[Episode 87] Steps: 53 | Survival: 3/4 | Mean Reward: 7.74 | Collisions: 31 | Kills: 0
[Episode 88] Steps: 50 | Survival: 3/4 | Mean Reward: 4.71 | Collisions: 18 | Kills: 0
[Episode 89] Steps: 85 | Survival: 3/4 | Mean Reward: 12.83 | Collisions: 34 | Kills: 0
[Episode 90] Steps: 70 | Survival: 3/4 | Mean Reward: 9.44 | Collisions: 19 | Kills: 0
[Episode 91] Steps: 73 | Survival: 3/4 | Mean Reward: 13.22 | Collisions: 28 | Kills: 1
[Episode 92] Steps: 67 | Survival: 3/4 | Mean Reward: 8.94 | Collisions: 28 | Kills: 0
[Episode 93] Steps: 82 | Survival: 3/4 | Mean Reward: 12.64 | Collisions: 22 | Kills: 1
[Episode 94] Steps: 100 | Survival: 3/4 | Mean Reward: 17.89 | Collisions: 34 | Kills: 0
[Episode 95] Steps: 90 | Survival: 3/4 | Mean Reward: 16.11 | Collisions: 33 | Kills: 0
[Episode 96] Steps: 110 | Survival: 3/4 | Mean Reward: 19.36 | Collisions: 37 | Kills: 0
[Episode 97] Steps: 54 | Survival: 3/4 | Mean Reward: 8.03 | Collisions: 21 | Kills: 0
[Episode 98] Steps: 77 | Survival: 3/4 | Mean Reward: 11.32 | Collisions: 33 | Kills: 0
[Episode 99] Steps: 90 | Survival: 3/4 | Mean Reward: 13.74 | Collisions: 36 | Kills: 1
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/epsilon_decay_20251118_112056/collision-10-energy-200-epsilon-decay/episode_100
[Episode 100] Steps: 93 | Survival: 3/4 | Mean Reward: 18.79 | Collisions: 22 | Kills: 0
[Episode 101] Steps: 72 | Survival: 3/4 | Mean Reward: 10.27 | Collisions: 24 | Kills: 0
[Episode 102] Steps: 69 | Survival: 3/4 | Mean Reward: 9.34 | Collisions: 24 | Kills: 0
[Episode 103] Steps: 67 | Survival: 3/4 | Mean Reward: 10.45 | Collisions: 31 | Kills: 1
[Episode 104] Steps: 65 | Survival: 3/4 | Mean Reward: 9.75 | Collisions: 35 | Kills: 1
[Episode 105] Steps: 39 | Survival: 3/4 | Mean Reward: 5.60 | Collisions: 17 | Kills: 1
[Episode 106] Steps: 84 | Survival: 3/4 | Mean Reward: 16.45 | Collisions: 30 | Kills: 1
[Episode 107] Steps: 85 | Survival: 3/4 | Mean Reward: 13.44 | Collisions: 37 | Kills: 0
[Episode 108] Steps: 99 | Survival: 3/4 | Mean Reward: 19.93 | Collisions: 29 | Kills: 0
[Episode 109] Steps: 97 | Survival: 3/4 | Mean Reward: 17.17 | Collisions: 28 | Kills: 0
[Episode 110] Steps: 103 | Survival: 3/4 | Mean Reward: 19.10 | Collisions: 52 | Kills: 2
[Episode 111] Steps: 69 | Survival: 3/4 | Mean Reward: 9.63 | Collisions: 34 | Kills: 2
[Episode 112] Steps: 86 | Survival: 3/4 | Mean Reward: 14.88 | Collisions: 28 | Kills: 0
[Episode 113] Steps: 107 | Survival: 3/4 | Mean Reward: 20.30 | Collisions: 34 | Kills: 1
[Episode 114] Steps: 104 | Survival: 3/4 | Mean Reward: 19.69 | Collisions: 35 | Kills: 1
[Episode 115] Steps: 76 | Survival: 3/4 | Mean Reward: 12.15 | Collisions: 35 | Kills: 0
[Episode 116] Steps: 130 | Survival: 3/4 | Mean Reward: 26.34 | Collisions: 38 | Kills: 3
[Episode 117] Steps: 80 | Survival: 3/4 | Mean Reward: 14.87 | Collisions: 23 | Kills: 0
[Episode 118] Steps: 81 | Survival: 3/4 | Mean Reward: 12.61 | Collisions: 31 | Kills: 0
[Episode 119] Steps: 81 | Survival: 3/4 | Mean Reward: 13.55 | Collisions: 35 | Kills: 0
[Episode 120] Steps: 143 | Survival: 3/4 | Mean Reward: 28.84 | Collisions: 48 | Kills: 0
[Episode 121] Steps: 128 | Survival: 3/4 | Mean Reward: 24.37 | Collisions: 43 | Kills: 0
[Episode 122] Steps: 123 | Survival: 3/4 | Mean Reward: 24.73 | Collisions: 36 | Kills: 1
[Episode 123] Steps: 126 | Survival: 3/4 | Mean Reward: 25.80 | Collisions: 31 | Kills: 0
[Episode 124] Steps: 121 | Survival: 3/4 | Mean Reward: 25.15 | Collisions: 44 | Kills: 1
[Episode 125] Steps: 155 | Survival: 3/4 | Mean Reward: 32.49 | Collisions: 33 | Kills: 0
[Episode 126] Steps: 100 | Survival: 3/4 | Mean Reward: 18.87 | Collisions: 38 | Kills: 0
[Episode 127] Steps: 72 | Survival: 3/4 | Mean Reward: 13.32 | Collisions: 26 | Kills: 0
[Episode 128] Steps: 75 | Survival: 3/4 | Mean Reward: 13.09 | Collisions: 17 | Kills: 0
[Episode 129] Steps: 105 | Survival: 3/4 | Mean Reward: 20.74 | Collisions: 30 | Kills: 2
[Episode 130] Steps: 158 | Survival: 2/4 | Mean Reward: 30.40 | Collisions: 43 | Kills: 3
[Episode 131] Steps: 44 | Survival: 3/4 | Mean Reward: 6.23 | Collisions: 16 | Kills: 1
[Episode 132] Steps: 115 | Survival: 3/4 | Mean Reward: 23.17 | Collisions: 51 | Kills: 3
[Episode 133] Steps: 193 | Survival: 3/4 | Mean Reward: 45.88 | Collisions: 28 | Kills: 0
[Episode 134] Steps: 65 | Survival: 3/4 | Mean Reward: 11.26 | Collisions: 35 | Kills: 0
[Episode 135] Steps: 134 | Survival: 3/4 | Mean Reward: 27.13 | Collisions: 38 | Kills: 2
[Episode 136] Steps: 125 | Survival: 3/4 | Mean Reward: 26.33 | Collisions: 43 | Kills: 0
[Episode 137] Steps: 103 | Survival: 3/4 | Mean Reward: 24.04 | Collisions: 27 | Kills: 0
[Episode 138] Steps: 72 | Survival: 3/4 | Mean Reward: 14.16 | Collisions: 32 | Kills: 0
